ANO;MES;SEMANA;DATA_INICIO;DATA_FIM;SUDESTE;SUL;NORDESTE;NORTE
2001;6;1;2001-06-30;2001-07-06;684;141.61;684;684
2001;7;2;2001-07-07;2001-07-13;684;4;684;684
2001;7;3;2001-07-14;2001-07-20;684;4;684;684
2001;7;4;2001-07-21;2001-07-27;684;86.94;684;684
2001;7;5;2001-07-28;2001-08-03;684;4;684;684
2001;8;6;2001-08-04;2001-08-10;684;4;684;684
2001;8;7;2001-08-11;2001-08-17;684;37.12;684;684
2001;8;8;2001-08-18;2001-08-24;684;60.62;684;684
2001;8;9;2001-08-25;2001-08-31;684;86.94;684;684
2001;9;10;2001-09-01;2001-09-07;684;93.24;684;684
2001;9;11;2001-09-08;2001-09-14;684;63.55;684;684
2001;9;12;2001-09-15;2001-09-21;684;79.72;684;684
2001;9;13;2001-09-22;2001-09-28;336;63.55;562.15;336
2001;9;14;2001-09-29;2001-10-05;336;63.55;562.15;336
2001;10;15;2001-10-06;2001-10-12;336;4;562.15;336
2001;10;16;2001-10-13;2001-10-19;336;4;562.15;336
2001;10;17;2001-10-20;2001-10-26;336;4;562.15;336
2001;10;18;2001-10-27;2001-11-02;336;4;562.15;336
2001;11;19;2001-11-03;2001-11-09;336;41.74;562.15;336
2001;11;20;2001-11-10;2001-11-16;336;46.62;562.15;336
2001;11;21;2001-11-17;2001-11-23;336;41.74;562.15;336
2001;11;22;2001-11-24;2001-11-30;336;31.82;562.15;336
2001;12;23;2001-12-01;2001-12-07;336;4;562.15;336
2001;12;24;2001-12-08;2001-12-14;336;4;562.15;336
2001;12;25;2001-12-15;2001-12-21;336;49.3;562.15;336
2001;12;26;2001-12-22;2001-12-28;336;41.74;562.15;336
2001;12;27;2001-12-29;2001-12-31;336;41.74;562.15;336
2002;1;28;2002-01-01;2002-01-04;336;41.74;562.15;4
2002;1;29;2002-01-05;2002-01-11;336;64.04;562.15;4
2002;1;30;2002-01-12;2002-01-18;336;64.04;562.15;4
2002;1;31;2002-01-19;2002-01-25;336;64.04;562.15;4
2002;1;32;2002-01-26;2002-02-01;134.76;8.88;319.41;4.19
2002;2;33;2002-02-02;2002-02-08;134.76;10.82;319.41;5.17
2002;2;34;2002-02-09;2002-02-15;9.25;8.88;319.41;4.19
2002;2;35;2002-02-16;2002-02-22;5.42;5.14;319.41;4
2002;2;36;2002-02-23;2002-02-28;8.14;6.97;319.41;4.49
2002;3;37;2002-03-02;2002-03-08;4.66;4.12;4;4
2002;3;38;2002-03-09;2002-03-15;8.7;8.38;4.88;4.88
2002;3;39;2002-03-16;2002-03-22;13.1;12.32;7.32;7.32
2002;3;40;2002-03-23;2002-03-29;12.3;11.21;7.04;7.04
2002;3;41;2002-03-30;2002-04-05;11.64;11.64;6.17;6.17
2002;4;42;2002-04-06;2002-04-12;10.87;11.09;5.72;5.72
2002;4;43;2002-04-13;2002-04-19;15.84;17.03;8.71;8.71
2002;4;44;2002-04-20;2002-04-26;15.96;16.37;8.75;8.75
2002;4;45;2002-04-27;2002-05-03;20.11;20.09;4;20.11
2002;5;46;2002-05-04;2002-05-10;25.31;26.67;4.38;25.31
2002;5;47;2002-05-11;2002-05-17;18.95;20.13;4;4
2002;5;48;2002-05-18;2002-05-24;20.89;22.86;4.13;4.13
2002;5;49;2002-05-25;2002-05-31;12.92;11.36;4;4
