nom_ree;ear_data;ear_max_ree;ear_verif_ree_mwmes;ear_verif_ree_percentual
BELO MONTE;2020-01-01;27.275;4.01;14.7021
IGUACU;2020-01-01;10449.617;2271.273;21.7355
MADEIRA;2020-01-01;316.575;70.57;22.2917
MANAUS-AMAPA;2020-01-01;776.495;196.546;25.3119
NORDESTE;2020-01-01;51602.071;19613.602;38.0093
NORTE;2020-01-01;14361.117;2097.75;14.6072
PARANA;2020-01-01;140228.485;27508.394;19.6168
PARANAPANEMA;2020-01-01;11833.214;3432.537;29.0076
SUDESTE;2020-01-01;50313.666;9675.803;19.231
SUL;2020-01-01;9447.43;3686.724;39.0236
TELES PIRES;2020-01-01;875.144;434.322;49.6286
BELO MONTE;2020-01-02;27.275;3.907;14.3245
IGUACU;2020-01-02;10449.617;2250.144;21.5333
MADEIRA;2020-01-02;316.575;76.178;24.0632
MANAUS-AMAPA;2020-01-02;776.495;198.247;25.531
NORDESTE;2020-01-02;51602.071;19650.275;38.0804
NORTE;2020-01-02;14361.117;2093.114;14.5749
PARANA;2020-01-02;140228.485;27292.82;19.4631
PARANAPANEMA;2020-01-02;11833.214;3416.893;28.8754
SUDESTE;2020-01-02;50313.666;9676.559;19.2325
SUL;2020-01-02;9447.43;3656.48;38.7034
TELES PIRES;2020-01-02;875.144;433.444;49.5283
BELO MONTE;2020-01-03;27.275;3.957;14.5078
IGUACU;2020-01-03;10449.617;2268.752;21.7113
MADEIRA;2020-01-03;316.575;82.242;25.9787
MANAUS-AMAPA;2020-01-03;776.495;199.061;25.6358
NORDESTE;2020-01-03;51602.071;19679.17;38.1364
NORTE;2020-01-03;14361.117;2077.883;14.4688
PARANA;2020-01-03;140228.485;27184.937;19.3862
PARANAPANEMA;2020-01-03;11833.214;3414.67;28.8567
SUDESTE;2020-01-03;50313.666;9663.0;19.2055
SUL;2020-01-03;9447.43;3626.418;38.3852
TELES PIRES;2020-01-03;875.144;435.288;49.739
BELO MONTE;2020-01-04;27.275;4.112;15.0761
IGUACU;2020-01-04;10449.617;2275.389;21.7749
MADEIRA;2020-01-04;316.575;89.785;28.3614
MANAUS-AMAPA;2020-01-04;776.495;200.097;25.7693
NORDESTE;2020-01-04;51602.071;19709.238;38.1947
NORTE;2020-01-04;14361.117;2084.507;14.5149
PARANA;2020-01-04;140228.485;27212.311;19.4057
PARANAPANEMA;2020-01-04;11833.214;3413.264;28.8448
SUDESTE;2020-01-04;50313.666;9697.999;19.2751
SUL;2020-01-04;9447.43;3603.731;38.1451
TELES PIRES;2020-01-04;875.144;438.011;50.0502
BELO MONTE;2020-01-05;27.275;4.323;15.8497
IGUACU;2020-01-05;10449.617;2298.402;21.9951
MADEIRA;2020-01-05;316.575;97.985;30.9516
MANAUS-AMAPA;2020-01-05;776.495;200.911;25.8741
NORDESTE;2020-01-05;51602.071;19753.49;38.2804
NORTE;2020-01-05;14361.117;2097.124;14.6028
PARANA;2020-01-05;140228.485;27518.286;19.6239
PARANAPANEMA;2020-01-05;11833.214;3410.634;28.8225
SUDESTE;2020-01-05;50313.666;9737.071;19.3527
SUL;2020-01-05;9447.43;3593.501;38.0368
TELES PIRES;2020-01-05;875.144;440.646;50.3513
BELO MONTE;2020-01-06;27.275;4.591;16.8323
IGUACU;2020-01-06;10449.617;2287.607;21.8918
MADEIRA;2020-01-06;316.575;98.582;31.1402
MANAUS-AMAPA;2020-01-06;776.495;200.097;25.7693
NORDESTE;2020-01-06;51602.071;19814.347;38.3984
NORTE;2020-01-06;14361.117;2093.463;14.5773
PARANA;2020-01-06;140228.485;27507.109;19.6159
PARANAPANEMA;2020-01-06;11833.214;3425.429;28.9476
SUDESTE;2020-01-06;50313.666;9778.963;19.436
SUL;2020-01-06;9447.43;3554.03;37.619
TELES PIRES;2020-01-06;875.144;443.369;50.6624
BELO MONTE;2020-01-07;27.275;4.917;18.0275
IGUACU;2020-01-07;10449.617;2264.374;21.6694
MADEIRA;2020-01-07;316.575;98.416;31.0877
MANAUS-AMAPA;2020-01-07;776.495;198.765;25.5977
NORDESTE;2020-01-07;51602.071;19859.758;38.4864
NORTE;2020-01-07;14361.117;2103.288;14.6457
PARANA;2020-01-07;140228.485;27564.864;19.6571
PARANAPANEMA;2020-01-07;11833.214;3450.304;29.1578
SUDESTE;2020-01-07;50313.666;9853.909;19.585
SUL;2020-01-07;9447.43;3508.633;37.1385
TELES PIRES;2020-01-07;875.144;446.093;50.9737
BELO MONTE;2020-01-08;27.275;5.169;18.9514
IGUACU;2020-01-08;10449.617;2248.718;21.5196
MADEIRA;2020-01-08;316.575;97.371;30.7576
MANAUS-AMAPA;2020-01-08;776.495;197.285;25.4071
NORDESTE;2020-01-08;51602.071;19925.21;38.6132
NORTE;2020-01-08;14361.117;2114.653;14.7249
PARANA;2020-01-08;140228.485;27702.49;19.7553
PARANAPANEMA;2020-01-08;11833.214;3468.604;29.3124
SUDESTE;2020-01-08;50313.666;9975.343;19.8263
SUL;2020-01-08;9447.43;3464.054;36.6666
TELES PIRES;2020-01-08;875.144;448.818;51.285
BELO MONTE;2020-01-09;27.275;5.452;19.989
IGUACU;2020-01-09;10449.617;2205.414;21.1052
MADEIRA;2020-01-09;316.575;95.98;30.3183
MANAUS-AMAPA;2020-01-09;776.495;195.732;25.2071
NORDESTE;2020-01-09;51602.071;19871.097;38.5083
NORTE;2020-01-09;14361.117;2113.654;14.7179
PARANA;2020-01-09;140228.485;27792.831;19.8197
PARANAPANEMA;2020-01-09;11833.214;3500.899;29.5854
SUDESTE;2020-01-09;50313.666;10041.157;19.9571
SUL;2020-01-09;9447.43;3431.549;36.3226
TELES PIRES;2020-01-09;875.144;463.243;52.9333
BELO MONTE;2020-01-10;27.275;5.741;21.0486
IGUACU;2020-01-10;10449.617;2130.883;20.392
MADEIRA;2020-01-10;316.575;96.874;30.6006
MANAUS-AMAPA;2020-01-10;776.495;194.106;24.9977
NORDESTE;2020-01-10;51602.071;19925.036;38.6129
NORTE;2020-01-10;14361.117;2111.525;14.7031
PARANA;2020-01-10;140228.485;28053.288;20.0054
PARANAPANEMA;2020-01-10;11833.214;3500.707;29.5837
SUDESTE;2020-01-10;50313.666;10067.811;20.0101
SUL;2020-01-10;9447.43;3397.778;35.9651
TELES PIRES;2020-01-10;875.144;485.882;55.5202
BELO MONTE;2020-01-11;27.275;6.155;22.5665
IGUACU;2020-01-11;10449.617;2085.844;19.961
MADEIRA;2020-01-11;316.575;100.489;31.7426
MANAUS-AMAPA;2020-01-11;776.495;193.737;24.9502
NORDESTE;2020-01-11;51602.071;19988.335;38.7355
NORTE;2020-01-11;14361.117;2139.812;14.9
PARANA;2020-01-11;140228.485;28356.415;20.2216
PARANAPANEMA;2020-01-11;11833.214;3527.462;29.8098
SUDESTE;2020-01-11;50313.666;10132.779;20.1392
SUL;2020-01-11;9447.43;3380.94;35.7869
TELES PIRES;2020-01-11;875.144;507.679;58.0109
BELO MONTE;2020-01-12;27.275;6.552;24.022
IGUACU;2020-01-12;10449.617;2109.298;20.1854
MADEIRA;2020-01-12;316.575;102.399;32.3459
MANAUS-AMAPA;2020-01-12;776.495;192.703;24.817
NORDESTE;2020-01-12;51602.071;20073.967;38.9015
NORTE;2020-01-12;14361.117;2182.045;15.1941
PARANA;2020-01-12;140228.485;28777.648;20.522
PARANAPANEMA;2020-01-12;11833.214;3592.854;30.3625
SUDESTE;2020-01-12;50313.666;10195.8;20.2645
